Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-01-11,77.08780051462584,77.74736398963941,76.58106945815724,77.44171142578125,2923900,0.0,0
2013-01-14,77.53820904265811,78.33450219719857,77.29690511140882,78.08515930175781,2592500,0.0,0
2013-01-15,77.8841095876359,78.34258235286487,77.67497982941774,78.25410461425781,2106400,0.0,0
2013-01-16,78.02082379170439,78.58385820978206,77.9564752477484,78.50342559814453,2092300,0.0,0
2013-01-17,78.65626745155849,79.22734708501594,78.43105363967287,78.8895263671875,2803900,0.0,0
2013-01-18,79.16297636171154,79.46862885221233,78.85733000782517,79.42036437988281,3187900,0.0,0
2013-01-22,79.13886309721956,79.89494323730469,78.90560420003125,79.89494323730469,3215200,0.0,0
2013-01-23,79.60539013275046,80.19255385882134,79.47669301455521,80.02364349365234,3579300,0.0,0
2013-01-24,79.93515236968769,80.28906324882723,79.46864073591274,80.16841125488281,3816300,0.0,0
2013-01-25,80.26491927578516,81.1336061080529,80.0960089700577,80.90838623046875,4237800,0.0,0
2013-01-28,81.22208288766066,81.22208288766066,80.65099730390725,80.95664978027344,2964900,0.0,0
2013-01-29,80.6992842834565,81.93796632682171,80.48210944897616,81.88970184326172,3530700,0.0,0
2013-01-30,81.88167012519416,82.00231600323488,80.98885380799464,81.07733154296875,2822800,0.0,0
2013-01-31,80.98883521725321,81.19795878226435,80.49014320156479,80.87622833251953,3763100,0.0,0
2013-02-01,81.59209720164051,82.03447968273167,81.3668834095773,81.68861389160156,3853600,0.0,0
2013-02-04,81.05317687988281,81.40708773528557,80.90035675864382,81.05317687988281,1987600,0.0,0
2013-02-05,81.4875201751719,81.97816708308581,81.43926183557869,81.6323013305664,2833100,0.0,0
2013-02-06,81.34274674280755,82.83881677838922,81.30253350153349,82.59751892089844,3510600,0.0,0
2013-02-07,82.56533289923657,82.6377204052005,81.608168298505,82.21946716308594,2277600,0.0,0
2013-02-08,82.31598534858868,83.11228474849537,82.07468752099871,82.57337951660156,1937800,0.0,0
2013-02-11,82.3562058332603,82.75032991927472,82.0746886289643,82.54120635986328,1715500,0.0,0
2013-02-12,82.57338324154645,83.32141206377277,82.54924793474544,83.21685028076172,1928000,0.0,0
2013-02-13,83.38276634091321,83.67411689057042,83.01858124109796,83.24518585205078,1699900,0.635,0
2013-02-14,82.89715662284723,83.47176274539193,82.7272032210673,83.18041229248047,2217500,0.0,0
2013-02-15,83.4070300597043,83.66600759509697,83.05093980760904,83.54461669921875,2326200,0.0,0
2013-02-19,83.69838729222985,84.4834147461244,83.61745796362992,84.31346130371094,2988500,0.0,0
